title,total_price,unit_price,area_size,layout_full,orientation,floor,build_year,community,district,sub_district,street,tags,area_code,detail_url
大悦城旁 新界三期 前后双花园 带地下室 拎包入住带暖气！！,397万,25498元/㎡,155.7㎡,4 室 4 厅 3 卫,南,低层(共8层),2012年建造,新界三期,武侯,外双楠,太平园东三街85号,,wuhou,https://chengdu.anjuke.com/prop/view/A7262638868?auction=222&hpType=64&entry=102&position=0&kwtype=filter&now_time=1781411506&region_ids=905&click_url=https%253A%252F%252Flego-click.anjuke.com%252Fcpaclick%253Ftarget%253DszqWua3draOWUvYfugF1pAqduh78uzt3Pjb1nHnzPjDdnWDdPZ980v6YUykKuaY3m1IBry7BraYYuHK6sHEknHTVrH9duaYdPvnkm1cduyu-PjEKnHDYnW0zrjnQnWb3n10LTEDYnW0Qn1mvrjELPjczPj0kTHDkPHTknjTKnHTdnjTknTDQsjD1THDkn9DQP19QPjDQPHTvPHELTHDKwbPxERKEgYQFNdwxEdKKgY72ikDQTHDKTiYQTNRDEW0znY7DsHmzE1TVPDELPzdanbu7sHnQnWmkwjmYn1N1nEDznjmdrH9QnHEvrHD3rHnvPH0vTHmKTHDKmHuBP19zuH9VPWFhPzYYuymksHb1PjDVnHTkm1cYnyRBnjEvTHckPWNOrjDQPj0kn1cQrjcLrjEKnWTvPHb3nHDYP1TknW0QnWTvPTDKTEDKTiYKTEDKwNwaP1c1ENEVPWFjnaYYwj0LsNczwbNVn1DzPWKDPWE1PHnQTHDzPa3LPB3QnWb8nWDvTHTKnTDKnikQnk7exEDQnjDdPEDQnjTYrHEzTy76Pj9LnyNvsHNOrH9VPAEznad6P1cksyPbn10krj9YnH9Qu9DKPTDKTHTKnHTzsjDkPBk3nW9QTHDKUMR_UTDYnjT3nHcQnjbdn10zn1Tv&spread=filtersearch_c&epauction=&stats_key=96bc9262-8c07-470d-bb27-2d16899267df_0&from=from_esf_List_screen&index=0
武侯新城万达 北二外旁 当代璞誉 精装套三近地铁 拎包入住,270万,25000元/㎡,108㎡,3 室 2 厅 1 卫,南,中层(共16层),2022年建造,当代璞誉,武侯,簇桥,兆景路258号,"南,满二年,近地铁,车位充足",wuhou,https://chengdu.anjuke.com/prop/view/S4507688918313984?auction=221&hpType=27&entry=102&position=1&kwtype=filter&now_time=1781411506&region_ids=905&spread=filtersearch_c&epauction=&stats_key=96bc9262-8c07-470d-bb27-2d16899267df_1&from=from_esf_List_screen&index=1
华宇蓉国府！来电急（124丸）倪家桥 精装套四 玉林 来福士,272.6万,21044元/㎡,129.54㎡,4 室 2 厅 2 卫,南北,中层(共30层),2012年建造,华宇蓉国府,武侯,玉林,"玉林一巷9号,人民南路四段12号","南北,满五年,近地铁",wuhou,https://chengdu.anjuke.com/prop/view/S4614997422795786?auction=221&hpType=27&entry=102&position=2&kwtype=filter&now_time=1781411506&region_ids=905&spread=filtersearch_c&epauction=&stats_key=96bc9262-8c07-470d-bb27-2d16899267df_2&from=from_esf_List_screen&index=2
桐梓林丨豪装双拼别墅（带百平私家家园）全款包税丨 智能家居,188万,14870元/㎡,126.43㎡,4 室 2 厅 3 卫,南北,高层(共6层),2020年建造,世纪锦苑,武侯,桐梓林,桐梓林东路1号,"南北,满二年,近地铁,绿化率高",wuhou,https://chengdu.anjuke.com/prop/view/S4612366199331847?auction=221&hpType=27&entry=102&position=3&kwtype=filter&now_time=1781411506&region_ids=905&spread=filtersearch_c&epauction=&stats_key=96bc9262-8c07-470d-bb27-2d16899267df_3&from=from_esf_List_screen&index=3
地铁口 武侯周边 精装修拎包入住 三房 首付26万 配套成熟,175万,18474元/㎡,94.73㎡,3 室 2 厅 1 卫,西,低层(共14层),2011年建造,中海锦城(二期),武侯,簇桥,金履三路55号,"西,满五年,近地铁,采光较好",wuhou,https://chengdu.anjuke.com/prop/view/S4113890823266306?auction=221&hpType=27&entry=102&position=4&kwtype=filter&now_time=1781411506&region_ids=905&spread=filtersearch_c&epauction=&stats_key=96bc9262-8c07-470d-bb27-2d16899267df_4&from=from_esf_List_screen&index=5
武侯立交地铁口套三双卫出售 视野采光好周边生活方便,215万,21779元/㎡,98.72㎡,3 室 2 厅 2 卫,南北,中层(共16层),2011年建造,保利花园一期,武侯,外双楠,聚龙路1147号,"南北,满五年,近地铁,采光较好",wuhou,https://chengdu.anjuke.com/prop/view/S4564330384059393?auction=221&hpType=27&entry=102&position=5&kwtype=filter&now_time=1781411506&region_ids=905&spread=filtersearch_c&epauction=&stats_key=96bc9262-8c07-470d-bb27-2d16899267df_5&from=from_esf_List_screen&index=6
时代锦绣  套三双卫  精装   急售,135万,15609元/㎡,86.49㎡,3 室 2 厅 2 卫,南,低层(共14层),2015年建造,时代锦绣,武侯,新双楠,武侯大道文昌段55号,"南,满五年,近地铁,绿化率高",wuhou,https://chengdu.anjuke.com/prop/view/S4597569358502913?auction=221&hpType=27&entry=102&position=6&kwtype=filter&now_time=1781411506&region_ids=905&spread=filtersearch_c&epauction=&stats_key=96bc9262-8c07-470d-bb27-2d16899267df_6&from=from_esf_List_screen&index=7
武侯区 西派城B区 四房,410万,21431元/㎡,191.32㎡,4 室 2 厅 3 卫,西北,中层(共14层),2018年建造,中国铁建西派城B区,武侯,簇桥,"智达二路1209号,来凤二路108号","西北,配套成熟,价格优惠,房东急售",wuhou,https://chengdu.anjuke.com/prop/view/S4241370323180551?auction=221&hpType=27&entry=102&position=7&kwtype=filter&now_time=1781411506&region_ids=905&spread=filtersearch_c&epauction=&stats_key=96bc9262-8c07-470d-bb27-2d16899267df_7&from=from_esf_List_screen&index=8
新上急售，双地铁100 ，电梯三房，自住装修，随时可看,110万,12225元/㎡,89.98㎡,3 室 2 厅 1 卫,南北,中层(共21层),2008年建造,富邑华庭,武侯,机投镇,草金南路24号,"南北,满五年,近地铁,采光较好",wuhou,https://chengdu.anjuke.com/prop/view/S3971359973186568?auction=221&hpType=27&entry=102&position=8&kwtype=filter&now_time=1781411506&region_ids=905&spread=filtersearch_c&epauction=&stats_key=96bc9262-8c07-470d-bb27-2d16899267df_8&from=from_esf_List_screen&index=9
正成城市乐章 双地铁口电梯精装套二对中庭配套成熟,96万,13914元/㎡,69㎡,2 室 2 厅 1 卫,南北,高层(共22层),2014年建造,正成城市乐章,武侯,机投镇,武青东一路46号,"南北,满五年,近地铁,车位充足",wuhou,https://chengdu.anjuke.com/prop/view/S4308007107108873?auction=221&hpType=27&entry=102&position=9&kwtype=filter&now_time=1781411506&region_ids=905&spread=filtersearch_c&epauction=&stats_key=96bc9262-8c07-470d-bb27-2d16899267df_9&from=from_esf_List_screen&index=10
