id,title,total_price,unit_price,area_size,layout_full,orientation,floor,build_year,community,district,sub_district,street,tags,area_code,detail_url,source,created_at,lng,lat,nearest_subway_dist,subway_count,school_count,price_num,area_num,room_count,hall_count,toilet_count,build_year_num,house_age,has_subway,area_x_subway,area_x_school,age_x_area,age_x_subwaydist,subway_x_school,room_density,area_per_room,log_area,area_squared,sqrt_area,inv_subway_dist,age_squared,log_age,district_te,area_bin_te,age_bin_te,subway_bin_te,district_price_mean,district_price_std,district_price_median,total_rooms,toilet_ratio,is_luxury,old_and_far
1,大悦城旁 新界三期 前后双花园 带地下室 拎包入住带暖气！！,397万,25498元/㎡,155.7㎡,4 室 4 厅 3 卫,南,低层(共8层),2012年建造,新界三期,武侯,外双楠,太平园东三街85号,,wuhou,https://chengdu.anjuke.com/prop/view/A7262638868?auction=222&hpType=64&entry=102&position=0&kwtype=filter&now_time=1781411506&region_ids=905&click_url=https%253A%252F%252Flego-click.anjuke.com%252Fcpaclick%253Ftarget%253DszqWua3draOWUvYfugF1pAqduh78uzt3Pjb1nHnzPjDdnWDdPZ980v6YUykKuaY3m1IBry7BraYYuHK6sHEknHTVrH9duaYdPvnkm1cduyu-PjEKnHDYnW0zrjnQnWb3n10LTEDYnW0Qn1mvrjELPjczPj0kTHDkPHTknjTKnHTdnjTknTDQsjD1THDkn9DQP19QPjDQPHTvPHELTHDKwbPxERKEgYQFNdwxEdKKgY72ikDQTHDKTiYQTNRDEW0znY7DsHmzE1TVPDELPzdanbu7sHnQnWmkwjmYn1N1nEDznjmdrH9QnHEvrHD3rHnvPH0vTHmKTHDKmHuBP19zuH9VPWFhPzYYuymksHb1PjDVnHTkm1cYnyRBnjEvTHckPWNOrjDQPj0kn1cQrjcLrjEKnWTvPHb3nHDYP1TknW0QnWTvPTDKTEDKTiYKTEDKwNwaP1c1ENEVPWFjnaYYwj0LsNczwbNVn1DzPWKDPWE1PHnQTHDzPa3LPB3QnWb8nWDvTHTKnTDKnikQnk7exEDQnjDdPEDQnjTYrHEzTy76Pj9LnyNvsHNOrH9VPAEznad,anjuke,2026-06-16 10:41:31,104.013622,30.627975,814.0,3,25,397.0,155.7,4.0,4.0,3.0,2012.0,14.0,0,467.09999999999997,3892.4999999999995,2179.7999999999997,11410.0,75,0.025526483726866625,31.139999999999997,5.054333149361975,24242.489999999998,12.477980605851252,0.0010940919037199124,196.0,2.70805020110221,165.26756661632115,310.87238058412095,156.66755417488636,168.3487467857248,165.3619119878604,73.37648503297784,158.0,8.0,0.6,1,0
2,武侯新城万达 北二外旁 当代璞誉 精装套三近地铁 拎包入住,270万,25000元/㎡,108㎡,3 室 2 厅 1 卫,南,中层(共16层),2022年建造,当代璞誉,武侯,簇桥,兆景路258号,"南,满二年,近地铁,车位充足",wuhou,https://chengdu.anjuke.com/prop/view/S4507688918313984?auction=221&hpType=27&entry=102&position=1&kwtype=filter&now_time=1781411506&region_ids=905&spread=filtersearch_c&epauction=&stats_key=96bc9262-8c07-470d-bb27-2d16899267df_1&from=from_esf_List_screen&index=1,anjuke,2026-06-16 10:41:31,103.991925,30.622702,494.0,3,25,270.0,108.0,3.0,2.0,1.0,2022.0,4.0,1,324.0,2700.0,432.0,1980.0,75,0.027522935779816515,27.0,4.6913478822291435,11664.0,10.392304845413264,0.0016835016835016834,16.0,1.6094379124341003,165.26756661632115,149.02902045827102,153.39432241625985,165.68480843451096,165.3619119878604,73.37648503297784,158.0,5.0,0.25,0,0
3,华宇蓉国府！来电急（124丸）倪家桥 精装套四 玉林 来福士,272.6万,21044元/㎡,129.54㎡,4 室 2 厅 2 卫,南北,中层(共30层),2012年建造,华宇蓉国府,武侯,玉林,"玉林一巷9号,人民南路四段12号","南北,满五年,近地铁",wuhou,https://chengdu.anjuke.com/prop/view/S4614997422795786?auction=221&hpType=27&entry=102&position=2&kwtype=filter&now_time=1781411506&region_ids=905&spread=filtersearch_c&epauction=&stats_key=96bc9262-8c07-470d-bb27-2d16899267df_2&from=from_esf_List_screen&index=2,anjuke,2026-06-16 10:41:31,104.063907,30.628296,484.0,6,25,272.6,129.54,4.0,2.0,2.0,2012.0,14.0,1,777.24,3238.5,1813.56,6790.0,150,0.03064194882794546,25.907999999999998,4.871679693207072,16780.611599999997,11.381564040148437,0.0017123287671232876,196.0,2.70805020110221,165.26756661632115,183.1495985115277,156.66755417488636,165.68480843451096,165.3619119878604,73.37648503297784,158.0,6.0,0.4,0,0
4,桐梓林丨豪装双拼别墅（带百平私家家园）全款包税丨 智能家居,188万,14870元/㎡,126.43㎡,4 室 2 厅 3 卫,南北,高层(共6层),2020年建造,世纪锦苑,武侯,桐梓林,桐梓林东路1号,"南北,满二年,近地铁,绿化率高",wuhou,https://chengdu.anjuke.com/prop/view/S4612366199331847?auction=221&hpType=27&entry=102&position=3&kwtype=filter&now_time=1781411506&region_ids=905&spread=filtersearch_c&epauction=&stats_key=96bc9262-8c07-470d-bb27-2d16899267df_3&from=from_esf_List_screen&index=3,anjuke,2026-06-16 10:41:31,104.06251,30.613158,501.0,4,25,188.0,126.43,4.0,2.0,3.0,2020.0,6.0,1,505.72,3160.75,758.58,3012.0,100,0.031389782625755314,25.286,4.847567194224188,15984.544900000003,11.244109569014347,0.0016638935108153079,36.0,1.9459101490553132,165.26756661632115,183.1495985115277,149.88982314964807,168.3487467857248,165.3619119878604,73.37648503297784,158.0,6.0,0.6,0,0
5,地铁口 武侯周边 精装修拎包入住 三房 首付26万 配套成熟,175万,18474元/㎡,94.73㎡,3 室 2 厅 1 卫,西,低层(共14层),2011年建造,中海锦城(二期),武侯,簇桥,金履三路55号,"西,满五年,近地铁,采光较好",wuhou,https://chengdu.anjuke.com/prop/view/S4113890823266306?auction=221&hpType=27&entry=102&position=4&kwtype=filter&now_time=1781411506&region_ids=905&spread=filtersearch_c&epauction=&stats_key=96bc9262-8c07-470d-bb27-2d16899267df_4&from=from_esf_List_screen&index=5,anjuke,2026-06-16 10:41:31,103.988281,30.607228,164.0,1,25,175.0,94.73,3.0,2.0,1.0,2011.0,15.0,1,94.73,2368.25,1420.95,2475.0,25,0.031338138514572234,23.6825,4.561531728958262,8973.7729,9.732933781753578,0.003787878787878788,225.0,2.772588722239781,165.26756661632115,149.02902045827102,156.66755417488636,165.68480843451096,165.3619119878604,73.37648503297784,158.0,5.0,0.25,0,0
6,武侯立交地铁口套三双卫出售 视野采光好周边生活方便,215万,21779元/㎡,98.72㎡,3 室 2 厅 2 卫,南北,中层(共16层),2011年建造,保利花园一期,武侯,外双楠,聚龙路1147号,"南北,满五年,近地铁,采光较好",wuhou,https://chengdu.anjuke.com/prop/view/S4564330384059393?auction=221&hpType=27&entry=102&position=5&kwtype=filter&now_time=1781411506&region_ids=905&spread=filtersearch_c&epauction=&stats_key=96bc9262-8c07-470d-bb27-2d16899267df_5&from=from_esf_List_screen&index=6,anjuke,2026-06-16 10:41:31,104.008003,30.611193,23.0,2,25,215.0,98.72,3.0,2.0,2.0,2011.0,15.0,1,197.44,2468.0,1480.8,360.0,50,0.030084235860409148,24.68,4.6023662586553575,9745.6384,9.935793878699377,0.008130081300813009,225.0,2.772588722239781,165.26756661632115,149.02902045827102,156.66755417488636,165.68480843451096,165.3619119878604,73.37648503297784,158.0,5.0,0.5,0,0
7,时代锦绣  套三双卫  精装   急售,135万,15609元/㎡,86.49㎡,3 室 2 厅 2 卫,南,低层(共14层),2015年建造,时代锦绣,武侯,新双楠,武侯大道文昌段55号,"南,满五年,近地铁,绿化率高",wuhou,https://chengdu.anjuke.com/prop/view/S4597569358502913?auction=221&hpType=27&entry=102&position=6&kwtype=filter&now_time=1781411506&region_ids=905&spread=filtersearch_c&epauction=&stats_key=96bc9262-8c07-470d-bb27-2d16899267df_6&from=from_esf_List_screen&index=7,anjuke,2026-06-16 10:41:31,103.990976,30.592419,1176.0,1,25,135.0,86.49,3.0,2.0,2.0,2015.0,11.0,1,86.49,2162.25,951.39,12947.0,25,0.03428963310092582,21.6225,4.471524501118173,7480.520099999999,9.299999999999999,0.0007836990595611285,121.0,2.4849066497880004,165.26756661632115,137.02504050532784,156.66755417488636,138.61871987021277,165.3619119878604,73.37648503297784,158.0,5.0,0.5,0,0
8,武侯区 西派城B区 四房,410万,21431元/㎡,191.32㎡,4 室 2 厅 3 卫,西北,中层(共14层),2018年建造,中国铁建西派城B区,武侯,簇桥,"智达二路1209号,来凤二路108号","西北,配套成熟,价格优惠,房东急售",wuhou,https://chengdu.anjuke.com/prop/view/S4241370323180551?auction=221&hpType=27&entry=102&position=7&kwtype=filter&now_time=1781411506&region_ids=905&spread=filtersearch_c&epauction=&stats_key=96bc9262-8c07-470d-bb27-2d16899267df_7&from=from_esf_List_screen&index=8,anjuke,2026-06-16 10:41:31,103.983383,30.614196,958.0,3,25,410.0,191.32,4.0,2.0,3.0,2018.0,8.0,0,573.96,4783.0,1530.56,7672.0,75,0.02079866888519135,38.263999999999996,5.259160651346843,36603.342399999994,13.831847309741384,0.000945179584120983,64.0,2.1972245773362196,165.26756661632115,310.87238058412095,149.88982314964807,168.3487467857248,165.3619119878604,73.37648503297784,158.0,6.0,0.6,1,0
9,新上急售，双地铁100 ，电梯三房，自住装修，随时可看,110万,12225元/㎡,89.98㎡,3 室 2 厅 1 卫,南北,中层(共21层),2008年建造,富邑华庭,武侯,机投镇,草金南路24号,"南北,满五年,近地铁,采光较好",wuhou,https://chengdu.anjuke.com/prop/view/S3971359973186568?auction=221&hpType=27&entry=102&position=8&kwtype=filter&now_time=1781411506&region_ids=905&spread=filtersearch_c&epauction=&stats_key=96bc9262-8c07-470d-bb27-2d16899267df_8&from=from_esf_List_screen&index=9,anjuke,2026-06-16 10:41:31,103.979619,30.647266,198.0,1,25,110.0,89.98,3.0,2.0,1.0,2008.0,18.0,1,89.98,2249.5,1619.64,3582.0,25,0.03297428006155199,22.495,4.510639702141858,8096.4004,9.485778829384543,0.003355704697986577,324.0,2.9444389791664403,165.26756661632115,137.02504050532784,159.17638085908843,165.68480843451096,165.3619119878604,73.37648503297784,158.0,5.0,0.25,0,0
10,正成城市乐章 双地铁口电梯精装套二对中庭配套成熟,96万,13914元/㎡,69㎡,2 室 2 厅 1 卫,南北,高层(共22层),2014年建造,正成城市乐章,武侯,机投镇,武青东一路46号,"南北,满五年,近地铁,车位充足",wuhou,https://chengdu.anjuke.com/prop/view/S4308007107108873?auction=221&hpType=27&entry=102&position=9&kwtype=filter&now_time=1781411506&region_ids=905&spread=filtersearch_c&epauction=&stats_key=96bc9262-8c07-470d-bb27-2d16899267df_9&from=from_esf_List_screen&index=10,anjuke,2026-06-16 10:41:31,103.981177,30.643353,416.0,1,25,96.0,69.0,2.0,2.0,1.0,2014.0,12.0,1,69.0,1725.0,828.0,5004.0,25,0.02857142857142857,23.0,4.248495242049359,4761.0,8.306623862918075,0.001937984496124031,144.0,2.5649493574615367,165.26756661632115,137.02504050532784,156.66755417488636,165.68480843451096,165.3619119878604,73.37648503297784,158.0,4.0,0.3333333333333333,0,0
